Seconds,Test,Run,Point,ID_rcs,at001,me2615,me2616,me2645,me2655,me1800,me3058,ads_dewpt,vr2615,vr2616,vr2645,vr2655,vr1800,vr3058,ptpsi_rcs,pt_fr1,ttemp,ps_fr1,x3mln2,mach_rcs,te2693,pitch,qinfft
2.000114,215,144,2688,4,-180.131363,-70.690002,-53.049999,-92.042488,56.440624,-76.427498,-66.386871,-84,5.455673,18.757771,1.735296,17870.83594,4.391502,7.384611,43.228176,43.228176,-181.450958,26.234333,318.603241,0.868621,-169.247345,2.086117,2009.78186
2.10012,215,144,2688,4,-180.181885,-70.695625,-53.049999,-92.031242,56.46875,-76.427498,-66.370003,-84,5.445589,18.719296,1.737157,17883.5625,4.385927,7.407006,43.230431,43.212387,-181.340363,26.227373,317.718689,0.868159,-169.22699,2.098743,2008.73645
2.201126,215,144,2688,4,-180.005936,-70.690002,-53.044376,-92.042488,56.440624,-76.421875,-66.386871,-84,5.445589,18.719296,1.737157,17883.5625,4.385927,7.407006,43.232685,43.210129,-181.084839,26.234333,316.18454,0.869065,-169.22699,2.111375,2011.117188
2.300131,215,144,2688,4,-179.817871,-70.684372,-53.049999,-92.031242,56.474377,-76.421875,-66.409378,-84,5.445589,18.719296,1.737157,17883.5625,4.385927,7.407006,43.237198,43.201107,-181.4272,26.245934,317.152649,0.869217,-169.247345,2.111375,2011.693237
2.400137,215,144,2688,4,-179.776077,-70.695625,-53.016251,-92.019989,56.435001,-76.427498,-66.392502,-84,5.448664,18.721519,1.733004,17870.83594,4.385927,7.402123,43.225922,43.212387,-181.318222,26.250574,317.425262,0.86973,-169.247345,2.124356,2012.454102
2.500143,215,144,2688,4,-179.918854,-70.678749,-53.03875,-92.053741,56.418125,-76.416252,-66.398125,-84,5.448664,18.721519,1.733004,17870.83594,4.385927,7.402123,43.198853,43.223663,-181.233047,26.250574,315.84259,0.869602,-169.2677,2.13734,2010.878418
2.600149,215,144,2688,4,-179.972839,-70.701248,-53.033127,-92.025612,56.418125,-76.433128,-66.381248,-84,5.450912,18.7363,1.73231,17870.83594,4.387785,7.405237,43.198853,43.221409,-181.168289,26.245934,318.344879,0.869602,-169.2677,2.149967,2010.881226
2.700154,215,144,2688,4,-179.922333,-70.695625,-53.016251,-91.991867,56.435001,-76.416252,-66.409378,-84,5.450912,18.7363,1.73231,17870.83594,4.387785,7.405237,43.228176,43.207874,-181.168289,26.250574,314.684967,0.868797,-169.288055,2.175578,2010.234131
2.80316,215,144,2688,4,-179.85965,-70.695625,-53.03875,-92.008743,56.423752,-76.399376,-66.403748,-84,5.44839,18.770643,1.735753,17866.59375,4.385927,7.401863,43.228176,43.219154,-181.387955,26.252893,314.752502,0.868797,-169.22699,2.201556,2010.224609
2.900166,215,144,2688,4,-179.983307,-70.695625,-53.016251,-92.036865,56.418125,-76.360001,-66.409378,-84,5.44839,18.770643,1.735753,17866.59375,4.385927,7.401863,43.212387,43.241711,-181.387955,26.241295,316.487915,0.869041,-169.288055,2.201556,2010.100464
